{12, 14, 17, 18, 21, 25, 26, 29, 32, 36, 43, 44, 45, 48, 49, 52, 54, 64, 65, 70},
{1, 6, 7, 8, 12, 17, 18, 19, 22, 24, 25, 26, 27, 29, 45, 55, 57, 60, 64, 66},
{2, 7, 8, 9, 10, 20, 25, 28, 29, 31, 34, 36, 38, 42, 44, 50, 56, 63, 64, 69},
{2, 5, 6, 10, 14, 22, 29, 31, 33, 34, 36, 46, 48, 49, 51, 54, 55, 57, 67, 70},
{3, 7, 12, 17, 18, 19, 23, 25, 26, 27, 29, 34, 36, 37, 38, 39, 46, 51, 53, 60},
{5, 7, 9, 14, 24, 25, 30, 32, 34, 37, 41, 43, 47, 56, 59, 61, 63, 64, 66, 69},
{4, 5, 9, 10, 20, 24, 25, 27, 28, 29, 36, 41, 44, 49, 57, 58, 60, 65, 66, 69},
{1, 3, 6, 9, 14, 15, 18, 20, 31, 42, 46, 51, 52, 53, 54, 55, 58, 64, 65, 66},
{5, 11, 13, 14, 17, 19, 25, 26, 32, 34, 36, 39, 41, 45, 47, 48, 49, 60, 61, 66},
{4, 9, 17, 18, 20, 31, 33, 37, 42, 45, 47, 48, 49, 51, 52, 54, 55, 63, 67, 70},
{6, 12, 13, 20, 22, 24, 33, 37, 38, 43, 51, 53, 56, 58, 60, 63, 64, 66, 67, 70},
{14, 15, 20, 21, 23, 28, 35, 38, 39, 42, 43, 45, 47, 50, 51, 54, 60, 61, 64, 66},
{1, 3, 4, 8, 10, 13, 14, 22, 26, 27, 33, 35, 47, 48, 50, 53, 55, 59, 63, 64},
{1, 6, 10, 13, 17, 18, 27, 30, 31, 35, 37, 39, 46, 47, 50, 58, 63, 65, 67, 70},
{1, 11, 15, 16, 25, 30, 31, 34, 35, 36, 38, 40, 44, 45, 47, 58, 60, 62, 63, 66},
{6, 9, 14, 15, 18, 21, 24, 25, 32, 33, 38, 41, 48, 51, 55, 59, 66, 68, 69, 70},
{1, 4, 6, 16, 17, 28, 29, 35, 36, 40, 42, 43, 45, 46, 47, 48, 57, 62, 67, 68},
{1, 7, 10, 17, 24, 28, 30, 34, 37, 40, 41, 42, 44, 52, 55, 57, 58, 59, 62, 66},
{2, 5, 7, 11, 14, 20, 22, 24, 29, 31, 32, 36, 47, 50, 52, 54, 56, 65, 66, 70},
{3, 7, 10, 17, 18, 20, 21, 25, 26, 27, 32, 35, 39, 42, 47, 50, 56, 57, 59, 67},
{3, 4, 5, 6, 15, 16, 18, 19, 22, 23, 29, 31, 34, 36, 39, 44, 51, 62, 63, 65},
{5, 13, 17, 18, 24, 26, 27, 28, 29, 34, 40, 43, 48, 49, 52, 62, 64, 65, 66, 68},
{1, 6, 9, 13, 14, 19, 20, 21, 23, 27, 29, 33, 50, 53, 54, 55, 59, 61, 64, 68},
{2, 7, 18, 22, 23, 27, 28, 30, 32, 40, 43, 44, 45, 48, 49, 52, 54, 60, 65, 68},
{3, 5, 7, 8, 11, 14, 17, 23, 25, 26, 31, 32, 34, 36, 40, 46, 50, 62, 65, 66},
{1, 2, 6, 9, 14, 20, 24, 30, 31, 32, 33, 34, 35, 43, 52, 55, 57, 58, 59, 64},
{1, 2, 5, 8, 11, 23, 26, 27, 32, 33, 35, 42, 45, 49, 51, 52, 61, 64, 67, 70},
{2, 3, 9, 16, 17, 19, 23, 27, 30, 33, 34, 40, 43, 44, 49, 51, 55, 59, 60, 63},
{1, 8, 13, 16, 17, 19, 21, 22, 24, 30, 31, 33, 38, 40, 42, 51, 53, 59, 63, 68},
{4, 6, 10, 11, 12, 13, 14, 17, 23, 24, 29, 31, 34, 41, 43, 45, 53, 57, 61, 64},
{5, 8, 9, 12, 15, 21, 22, 23, 29, 37, 38, 40, 41, 46, 49, 52, 54, 56, 58, 66},
{4, 6, 11, 12, 13, 14, 18, 20, 21, 22, 30, 36, 55, 56, 59, 60, 61, 62, 63, 66},
